Name,BSE Code,NSE Code,Industry
IRM Energy,544004,IRMENERGY,Miscellaneous
ISGEC Heavy,533033,ISGEC,Engineering - Turnkey Services
IST,508807,,Auto Ancillaries
ITC,500875,ITC,Cigarettes
ITD Cem,509496,ITDCEM,Construction
J B Chemicals &,506943,JBCHEPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln
J K Cements,532644,JKCEMENT,Cement - North India
J Kumar Infra,532940,JKIL,Construction
J.G.Chemicals,544138,JGCHEM,Chemicals
Jagran Prakashan,532705,JAGRAN,Entertainment / Electronic Media Software
Jagsonpal Pharma,507789,JAGSNPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln
Jai Balaji Inds.,532976,JAIBALAJI,Steel - Large
Jai Corp,512237,JAICORPLTD,Plastics Products
Jain Irrigation,500219,JISLJALEQS,Plastics Products
Jamna Auto Inds.,520051,JAMNAAUTO,Auto Ancillaries
Jash Engineering,,JASH,Engineering
Jayaswal Neco,522285,JAYNECOIND,Steel - Large
Jeena Sikho,,JSLL,Pharmaceuticals - Indian - Formulations
Jindal Drilling,511034,JINDRILL,Oil Drilling / Allied Services
Jindal Poly Film,500227,JINDALPOLY,Textiles - Products
Jindal Saw,500378,JINDALSAW,Steel - Large
Jindal Stain.,532508,JSL,Steel - Large
Jindal Steel,532286,JINDALSTEL,Steel - Sponge Iron
JK Lakshmi Cem.,500380,JKLAKSHMI,Cement - North India
JK Paper,532162,JKPAPER,Paper
JK Tyre & Indust,530007,JKTYRE,Tyres
JM Financial,523405,JMFINANCIL,Finance & Investments
JNK,544167,JNKINDIA,Engineering
Johnson Con. Hit,523398,JCHAC,Air-conditioners
JP Power Ven.,532627,JPPOWER,Power Generation And Supply
JSW Energy,533148,JSWENERGY,Power Generation And Supply
JSW Holdings,532642,JSWHL,Finance & Investments
JSW Infrast,543994,JSWINFRA,Miscellaneous
JSW Steel,500228,JSWSTEEL,Steel - Large
JTEKT India,520057,JTEKTINDIA,Auto Ancillaries
Jubilant Food.,533155,JUBLFOOD,Hotels
Jubilant Ingrev.,543271,JUBLINGREA,Chemicals
Jubilant Pharmo,530019,JUBLPHARMA,Pharmaceuticals - Indian - Bulk Drugs
Juniper Hotels,544129,JUNIPER,Hotels
Jupiter Life Lin,543980,JLHL,Healthcare
Jupiter Wagons,533272,JWL,Engineering
Just Dial,535648,JUSTDIAL,Miscellaneous
Jyothy Labs,532926,JYOTHYLAB,Personal Care - Indian
Jyoti CNC Auto.,544081,JYOTICNC,Engineering
Jyoti Resins,514448,,Chemicals
K C P,590066,KCP,Cement - South India
K E C Intl.,532714,KEC,Transmisson Line Towers / Equipment
K P R Mill Ltd,532889,KPRMILL,Textiles - Products
K.P. Energy,539686,KPEL,Engineering - Turnkey Services
K&R Rail Engine.,514360,,Construction
Kajaria Ceramics,500233,KAJARIACER,Ceramics - Tiles / Sanitaryware
Kalpataru Proj.,522287,KPIL,Transmisson Line Towers / Equipment
Kalyan Jewellers,543278,KALYANKJIL,Diamond Cutting / Jewellery
Kalyani Steels,500235,KSL,Steel - Medium / Small
Kama Holdings,532468,,Finance & Investments
Kamdhenu,532741,KAMDHENU,Steel - Medium / Small
Kansai Nerolac,500165,KANSAINER,Paints / Varnishes
Kaveri Seed Co.,532899,KSCL,Miscellaneous
KDDL Ltd,532054,KDDL,Miscellaneous
KEI Industries,517569,KEI,Cables - Power
Kellton Tech,519602,KELLTONTEC,Computers - Software - Medium / Small
Kennametal India,505890,KENNAMET,Castings & Forgings
Kesar India,543542,,Construction
Kewal Kir.Cloth.,532732,KKCL,Textiles - Products
Keystone Realtor,543669,RUSTOMJEE,Construction
KFin Technolog.,543720,KFINTECH,Miscellaneous
Khazanchi Jewell,543953,,Trading
Kilburn Engg.,522101,,Engineering
Kingfa Science,524019,KINGFA,Plastics Products
KIOCL,540680,KIOCL,Mining / Minerals / Metals
Kiri Industries,532967,KIRIINDUS,Dyes And Pigments
Kirl. Brothers,500241,KIRLOSBROS,Pumps
Kirl. Electric,533193,KECL,Electric Equipment
Kirl. Ferrous,500245,KIRLFER,Steel - Pig Iron
Kirl.Pneumatic,505283,KIRLPNU,Compressors / Drilling Equipment
Kirloskar Indus.,500243,KIRLOSIND,Finance & Investments
Kirloskar Oil,533293,KIRLOSENG,Engines
Kitex Garments,521248,KITEX,Textiles - Products
KMC Speciality,524520,,Healthcare
Knowledge Marine,543273,KMEW,Miscellaneous
KNR Construct.,532942,KNRCON,Construction
Kody Technolab,,KODYTECH,Computers - Software - Medium / Small
Kokuyo Camlin,523207,KOKUYOCMLN,Printing & Stationery
Kopran,524280,KOPRAN,Pharmaceuticals - Indian - Bulk Drugs & Formln
Kothari Petroche,,KOTHARIPET,Petrochemicals
Kovai Medical,523323,KOVAI,Healthcare
KP Green Engg.,544150,,Engineering
KPI Green Energy,542323,KPIGREEN,Construction
KPIT Technologi.,542651,KPITTECH,Computers - Software - Medium / Small
Krishna Defence,,KRISHNADEF,Diversified - Medium / Small
Krishna Institu.,543308,KIMS,Healthcare
Kross Ltd,544253,KROSS,Auto Ancillaries
Krystal Integrat,544149,KRYSTAL,Miscellaneous
KSB,500249,KSB,Pumps
Ksolves India,543599,KSOLVES,Computers - Software - Medium / Small
Kuantum Papers,532937,KUANTUM,Paper
L G Balakrishnan,500250,LGBBROSLTD,Auto Ancillaries
L T Foods,532783,LTFOODS,Food - Processing - Indian
L&T Technology,540115,LTTS,Computers - Software - Large
La Opala RG,526947,LAOPALA,Glass & Glass Products
Larsen & Toubro,500510,LT,Engineering - Turnkey Services
Latent View,543398,LATENTVIEW,Computers - Software - Medium / Small
Laxmi Goldorna,,LGHL,Construction
Laxmi Organic,543277,LXCHEM,Chemicals
Le Travenues,544192,IXIGO,Travel Agencies
Life Insurance,543526,LICI,Finance & Investments
Likhitha Infra.,543240,LIKHITHA,Construction
Linc,531241,LINC,Printing & Stationery
Lincoln Pharma.,531633,LINCOLN,Pharmaceuticals - Indian - Formulations
Linde India,523457,LINDEINDIA,Chemicals
Lloyds Engineeri,539992,LLOYDSENGG,Engineering
Lloyds Enterpris,512463,LLOYDSENT,Trading
Lloyds Metals,512455,LLOYDSME,Mining / Minerals / Metals
LMW,500252,LMW,Textile Machinery
LS Industries,514446,,Textiles - Processing
Lumax Auto Tech.,532796,LUMAXTECH,Auto Ancillaries
Lupin,500257,LUPIN,Pharmaceuticals - Indian - Bulk Drugs & Formln
Lux Industries,539542,LUXIND,Textiles - Composite
M & M,500520,M&M,Automobiles - Passenger Cars
M B Agro Prod.,,MBAPL,Fertilizers
M M Forgings,522241,MMFL,Castings & Forgings
M R P L,500109,MRPL,Refineries
Macrotech Devel.,543287,LODHA,Construction
Mafatlal Inds.,500264,,Textiles - Composite
Magellanic Cloud,538891,,Computers - Software - Medium / Small
Mah. Scooters,500266,MAHSCOOTER,Finance & Investments
Mah. Seamless,500265,MAHSEAMLES,Steel - Medium / Small
Mahanagar Gas,539957,MGL,Miscellaneous
Mahindra Logis.,540768,MAHLOG,Miscellaneous
Man Industries,513269,MANINDS,Steel - Medium / Small
Man Infra,533169,MANINFRA,Construction
Manali Petrochem,500268,MANALIPETC,Petrochemicals
Mangalam Cement,502157,MANGLMCEM,Cement - North India
Mangalore Chem.,530011,MANGCHEFER,Fertilizers
Mankind Pharma,543904,MANKIND,Pharmaceuticals - Indian - Bulk Drugs & Formln
Manoj Vaibhav,543995,MVGJL,Diamond Cutting / Jewellery
Maple Inf. Trust,543925,,Construction
Marathon Nextgen,503101,MARATHON,Construction
Marico,531642,MARICO,Solvent Extraction
Marksans Pharma,524404,MARKSANS,Pharmaceuticals - Indian - Formulations
Marsons,517467,,Electric Equipment
Maruti Suzuki,532500,MARUTI,Automobiles - Passenger Cars
Mastek,523704,MASTEK,Computers - Software - Medium / Small
Master Trust,511768,MASTERTR,Finance & Investments
Matrimony.com,540704,MATRIMONY,Miscellaneous
Max Financial,500271,MFSL,Finance & Investments
Max Healthcare,543220,MAXHEALTH,Healthcare
Mayur Uniquoters,522249,MAYURUNIQ,Leather / Leather Products
Mazagon Dock,543237,MAZDOCK,Miscellaneous
Media Matrix,512267,,Entertainment / Electronic Media Software
Medplus Health,543427,MEDPLUS,Trading
Metropolis Healt,542650,METROPOLIS,Healthcare
MIC Electronics,532850,MICEL,Electronics - Components
Minda Corp,538962,MINDACORP,Auto Ancillaries
Mindspace Busine,543217,MINDSPACE,Construction
Mishra Dhatu Nig,541195,MIDHANI,Steel - Medium / Small
MMTC,513377,MMTC,Trading
MOIL,533286,MOIL,Mining / Minerals / Metals
Mold-Tek Pack.,533080,MOLDTKPAC,Packaging
Monarch Networth,511551,MONARCH,Finance & Investments
Monte Carlo Fas.,538836,MONTECARLO,Textiles - Products
Morepen Labs.,500288,MOREPENLAB,Pharmaceuticals - Indian - Bulk Drugs & Formln
Moschip Tech.,532407,,Computers - Software - Medium / Small
Motherson Wiring,543498,MSUMI,Auto Ancillaries
Motil.Oswal.Fin.,532892,MOTILALOFS,Finance & Investments
Motisons Jewel,544053,MOTISONS,Diamond Cutting / Jewellery
Mphasis,526299,MPHASIS,Computers - Software - Large
MPS,532440,MPSLTD,Computers - Software - Medium / Small
Mrs Bectors,543253,BECTORFOOD,Food - Processing - Indian
MSP Steel & Pow.,532650,MSPL,Steel - Medium / Small
MTAR Technologie,543270,MTARTECH,Engineering
Mukand,500460,MUKANDLTD,Steel - Large
Mukka Proteins,544135,MUKKA,Food - Processing - Indian
Multi Comm. Exc.,534091,MCX,Miscellaneous
Munjal Auto Inds,520059,MUNJALAU,Auto Ancillaries
Narayana Hrudaya,539551,NH,Healthcare
Natco Pharma,524816,NATCOPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln
National Standar,504882,,Construction
Natl. Aluminium,532234,NATIONALUM,Aluminium and Aluminium Products
Natl.Fertilizer,523630,NFL,Fertilizers
Nava,513023,NAVA,Diversified - Large
Navneet Educat.,508989,NAVNETEDUL,Printing & Stationery
Nazara Technolo.,543280,NAZARA,Telecommunications - Service Provider
NBCC,534309,NBCC,Miscellaneous
NCC,500294,NCC,Construction
NDR Auto Compon.,543214,NDRAUTO,Auto Ancillaries
Nelcast,532864,NELCAST,Castings & Forgings
NELCO,504112,NELCO,Telecommunications - Service Provider
NESCO,505355,NESCO,Construction
Nestle India,500790,NESTLEIND,Food - Processing - MNC
Netweb Technol.,543945,NETWEB,Computers - Hardware
Network People,,NPST,Computers - Software - Medium / Small
Netwrk.18 Media,532798,NETWORK18,Entertainment / Electronic Media Software
Neuland Labs.,524558,NEULANDLAB,Pharmaceuticals - Indian - Bulk Drugs
New India Assura,540769,NIACL,Finance & Investments
Newgen Software,540900,NEWGEN,Computers - Software - Medium / Small
NHPC Ltd,533098,NHPC,Power Generation And Supply
NIBE,535136,,Engineering
NIIT,500304,NIITLTD,Computers - Education
NIIT Learning,543952,NIITMTS,Computers - Education
Nilkamal Ltd,523385,NILKAMAL,Plastics Products
NINtec Systems,539843,NINSYS,Computers - Software - Medium / Small
Nippon Life Ind.,540767,NAM-INDIA,Finance & Investments
Nitin Spinners,532698,NITINSPIN,Textiles - Cotton/Blended
Niva Bupa Health,544286,NIVABUPA,Finance & Investments
NLC India,513683,NLCINDIA,Power Generation And Supply
NMDC,526371,NMDC,Mining / Minerals / Metals
NOCIL,500730,NOCIL,Chemicals
Novartis India,500672,NOVARTIND,Pharmaceuticals - Indian - Bulk Drugs & Formln
NRB Bearings,530367,NRBBEARING,Bearings
NTPC,532555,NTPC,Power Generation And Supply
Nucleus Soft.,531209,NUCLEUS,Computers - Software - Medium / Small
Nuvoco Vistas,543334,NUVOCO,Cement - North India
O N G C,500312,ONGC,Oil Drilling / Allied Services
Oberoi Realty,533273,OBEROIRLTY,Construction
Oil India,533106,OIL,Oil Drilling / Allied Services
Ola Electric,544225,OLAELEC,Automobiles - Motorcycles / Mopeds
Olectra Greentec,532439,OLECTRA,Automobiles - LCVs / HCVs
Om Infra,531092,OMINFRAL,Engineering - Turnkey Services
One 97,543396,PAYTM,Miscellaneous
One Mobikwik,544305,MOBIKWIK,Miscellaneous
One Point One,,ONEPOINT,Computers - Software - Medium / Small
Optiemus Infra.,530135,OPTIEMUS,Trading
Oracle Fin.Serv.,532466,OFSS,Computers - Software - Medium / Small
Orchid Pharma,524372,ORCHPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln
Oriana Power Ltd,,ORIANA,Engineering - Turnkey Services
Orient,544235,ORIENTTECH,Computers - Software - Medium / Small
Orient Cement,535754,ORIENTCEM,Cement - South India
Orient Electric,541301,ORIENTELEC,Domestic Appliances
Orient Green,533263,GREENPOWER,Power Generation And Supply
Oriental Aromat.,500078,OAL,Chemicals
Oriental Hotels,500314,ORIENTHOT,Hotels
Oriental Rail,531859,,Miscellaneous
Oswal Green Tech,539290,OSWALGREEN,Finance & Investments
P & G Health Ltd,500126,PGHL,Pharmaceuticals - Multinational
P & G Hygiene,500459,PGHH,Personal Care - Multinational
P I Industries,523642,PIIND,Pesticides / Agrochemicals - Indian
P N Gadgil Jewe.,544256,PNGJL,Diamond Cutting / Jewellery
Page Industries,532827,PAGEIND,Textiles - Products
Paisalo Digital,532900,PAISALO,Finance & Investments
Pakka,516030,PAKKA,Paper
Panacea Biotec,531349,PANACEABIO,Pharmaceuticals - Indian - Bulk Drugs & Formln
Panama Petrochem,524820,PANAMAPET,Petrochemicals
Panorama Studios,539469,,Entertainment / Electronic Media Software
Paradeep Phosph.,543530,PARADEEP,Fertilizers
Parag Milk Foods,539889,PARAGMILK,Food - Processing - Indian
Paramount Comm.,530555,PARACABLES,Cables - Power
Patanjali Foods,500368,PATANJALI,Solvent Extraction
Patel Engineerin,531120,PATELENG,Construction
PB Fintech.,543390,POLICYBZR,Computers - Software - Medium / Small
PCBL Ltd,506590,PCBL,Chemicals
Pearl Global Ind,532808,PGIL,Textiles - Products
Peninsula Land,503031,PENINLAND,Construction
Pennar Industrie,513228,PENIND,Steel - Medium / Small
Persistent Sys,533179,PERSISTENT,Computers - Software - Large
Petronet LNG,532522,PETRONET,Miscellaneous
Pfizer,500680,PFIZER,Pharmaceuticals - Multinational
PG Electroplast,533581,PGEL,Electronics - Components
Phoenix Mills,503100,PHOENIXLTD,Construction
Piccadily Agro,530305,,Breweries & Distilleries
Pidilite Inds.,500331,PIDILITIND,Chemicals
Pilani Invest.,539883,PILANIINVS,Finance & Investments
Piramal Pharma,543635,PPLPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln
Pitti Engg.,513519,PITTIENG,Engineering
Pix Transmission,500333,PIXTRANS,Miscellaneous
Platinum Industr,544134,PLATIND,Chemicals
PNC Infratech,539150,PNCINFRA,Construction
PNGS Gargi FJ,543709,,Diamond Cutting / Jewellery
Pokarna,532486,POKARNA,Miscellaneous
Polo Queen Ind.,540717,,Trading
Poly Medicure,531768,POLYMED,Healthcare
Polycab India,542652,POLYCAB,Cables - Power
Polyplex Corpn,524051,POLYPLEX,Packaging
Pondy Oxides,532626,POCL,Mining / Minerals / Metals
Popular Vehicles,544144,PVSL,Trading
Power Grid Corpn,532898,POWERGRID,Power Generation And Supply
Power Mech Proj.,539302,POWERMECH,Engineering - Turnkey Services
Powergrid Infra.,543290,PGINVIT,Power Generation And Supply
Praj Industries,522205,PRAJIND,Engineering
Prakash Industri,506022,PRAKASH,Steel - Medium / Small
Prakash Pipes,542684,PPL,Plastics Products
Prataap Snacks,540724,DIAMONDYD,Food - Processing - Indian
Praveg,531637,,Hotels
Prec. Wires (I),523539,PRECWIRE,Mining / Minerals / Metals
Precision Camshf,539636,PRECAM,Auto Ancillaries
Prem. Explosives,526247,PREMEXPLN,Chemicals
Premier Energies,544238,PREMIERENE,Electric Equipment
Prestige Estates,533274,PRESTIGE,Construction
Pricol Ltd,540293,PRICOLLTD,Auto Ancillaries
Prime Securities,500337,PRIMESECU,Finance & Investments
Prince Pipes,542907,PRINCEPIPE,Plastics Products
Prism Johnson,500338,PRSMJOHNSN,Cement - North India
Privi Speci.,530117,PRIVISCL,Chemicals
Protean eGov,544021,,Computers - Software - Medium / Small
Prudent Corp.,543527,PRUDENT,Finance & Investments
PTC India,532524,PTC,Trading
PTC India Fin,533344,PFS,Finance & Investments
PTC Industries,539006,PTCIL,Castings & Forgings
Pudumjee Paper,539785,PDMJEPAPER,Paper
Punjab Chemicals,506618,PUNJABCHEM,Pesticides / Agrochemicals - Indian
PVR Inox,532689,PVRINOX,Entertainment / Electronic Media Software
Quess Corp,539978,QUESS,Diversified - Large
Quick Heal Tech,539678,QUICKHEAL,Computers - Software - Medium / Small
R K Swamy,544136,RKSWAMY,Miscellaneous
R R Kabel,543981,RRKABEL,Cables - Power
R Systems Intl.,532735,RSYSTEMS,Computers - Software - Medium / Small
Radhika Jeweltec,540125,RADHIKAJWE,Diamond Cutting / Jewellery
Radico Khaitan,532497,RADICO,Breweries & Distilleries
Raghav Product.,539837,RPEL,Refractories / Intermediates
Rail Vikas,542649,RVNL,Construction
Railtel Corpn.,543265,RAILTEL,Telecommunications - Service Provider
Rain Industries,500339,RAIN,Miscellaneous
Rainbow Child.,543524,RAINBOW,Healthcare
Raj Rayon Inds.,530699,RAJRILTD,Textiles - Processing
Rajesh Exports,531500,RAJESHEXPO,Diamond Cutting / Jewellery
Rajesh Power,544291,,Construction
Rajoo Engineers,522257,,Engineering
Rajratan Global,517522,RAJRATAN,Steel - Medium / Small
Rallis India,500355,RALLIS,Pesticides / Agrochemicals - Indian
Ram Ratna Wires,522281,RAMRAT,Mining / Minerals / Metals
Rama Steel Tubes,539309,RAMASTEEL,Steel - Medium / Small
Ramco Inds.,532369,RAMCOIND,Cement Products
Ramco Systems,532370,RAMCOSYS,Computers - Software - Medium / Small
Ramkrishna Forg.,532527,RKFORGE,Castings & Forgings
Ramky Infra,533262,RAMKY,Construction
Rane Holdings,505800,RANEHOLDIN,Finance & Investments
Rashi Peripheral,544119,RPTECH,Trading
Rategain Travel,543417,RATEGAIN,Computers - Software - Medium / Small
Ratnamani Metals,520111,RATNAMANI,Steel - Medium / Small
RattanIndia Ent,534597,RTNINDIA,Miscellaneous
RattanIndia Pow.,533122,RTNPOWER,Power Generation And Supply
Ravindra Energy,504341,RELTD,Electric Equipment
Raymond,500330,RAYMOND,Construction
Redington,532805,REDINGTON,Trading
Redtape,543957,REDTAPE,Trading
Rel. Indl. Infra,523445,RIIL,Miscellaneous
Relaxo Footwear,530517,RELAXO,Leather / Leather Products
Reliance Industr,500325,RELIANCE,Refineries
Reliance Infra.,500390,RELINFRA,Engineering - Turnkey Services
Reliance Power,532939,RPOWER,Power Generation And Supply
Religare Enterp.,532915,RELIGARE,Finance & Investments
Responsive Ind,505509,RESPONIND,Plastics Products
Rhetan TMT Ltd,543590,,Steel - Medium / Small
RHI Magnesita,534076,RHIM,Refractories / Intermediates
Rico Auto Inds,520008,RICOAUTO,Auto Ancillaries
Rishabh Instrum.,543977,RISHABH,Electric Equipment
Ritco Logistics,542383,RITCO,Miscellaneous
Rites,541556,RITES,Miscellaneous
RMC Switchgears,540358,,Electric Equipment
Rolex Rings,543325,ROLEXRINGS,Castings & Forgings
Rossari Biotech,543213,ROSSARI,Chemicals
Roto Pumps,517500,ROTO,Pumps
RPG LifeScience.,532983,RPGLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln
RPP Infra Proj.,533284,RPPINFRA,Construction
RPSG Ventures,542333,RPSGVENT,Computers - Software - Medium / Small
Rupa & Co,533552,RUPA,Textiles - Products
S A I L,500113,SAIL,Steel - Large
S C I,523598,SCI,Shipping
S H Kelkar & Co.,539450,SHK,Chemicals
S J Logistics (I,,SJLOGISTIC,Miscellaneous
S P Apparels,540048,SPAL,Textiles - Products
S P I C,590030,SPIC,Fertilizers
Sadhana Nitro,506642,SADHNANIQ,Chemicals
Safari Inds.,523025,SAFARI,Moulded Luggage
Sagar Cements,502090,SAGCEM,Cement - South India
Sagility India,544282,SAGILITY,Miscellaneous
Sahasra Electro.,,SAHASRA,Electronics - Components
Sai Life,544306,SAILIFE,Miscellaneous
Saint-Gob. Sekur,515043,,Glass & Glass Products
Saksoft,590051,SAKSOFT,Computers - Software - Medium / Small
Salasar Techno,540642,SALASAR,Steel - Medium / Small
Salzer Electron.,517059,SALZERELEC,Electric Equipment
Samvardh. Mothe.,517334,MOTHERSON,Auto Ancillaries
Sandhar Tech,541163,SANDHAR,Auto Ancillaries
Sandur Manganese,504918,SANDUMA,Mining / Minerals / Metals
Sangam India,514234,SANGAMIND,Textiles - Spinning - Synthetic / Blended
Sanghvi Movers,530073,SANGHVIMOV,Miscellaneous
Sanofi India,500674,SANOFI,Pharmaceuticals - Multinational
Sansera Enginee.,543358,SANSERA,Auto Ancillaries
Sanstar,544217,SANSTAR,Miscellaneous
Sapphire Foods,543397,SAPPHIRE,Hotels
Sarda Energy,504614,SARDAEN,Steel - Medium / Small
Saregama India,532163,SAREGAMA,Entertainment / Electronic Media Software
Sastasundar Ven.,533259,SASTASUNDR,Finance & Investments
Sat Industries,511076,SATINDLTD,Steel - Medium / Small
Sathlokhar,,SSEGL,Construction
Saurashtra Cem.,502175,SAURASHCEM,Cement - North India
Savita Oil Tech,524667,SOTL,Petrochemicals
SBFC Finance,543959,SBFC,Finance & Investments
SBI Life Insuran,540719,SBILIFE,Finance & Investments
Schaeffler India,505790,SCHAEFFLER,Bearings
Schneider Elect.,534139,SCHNEIDER,Electric Equipment
SEAMEC Ltd,526807,SEAMECLTD,Miscellaneous
Selan Expl. Tech,530075,SELAN,Oil Drilling / Allied Services
SEPC,532945,SEPC,Engineering - Turnkey Services
Sequent Scien.,512529,SEQUENT,Pharmaceuticals - Indian - Bulk Drugs & Formln
Seshasayee Paper,502450,SESHAPAPER,Paper
Sh. Digvijay Cem,502180,SHREDIGCEM,Cement - North India
Sh.Pushkar Chem.,539334,SHREEPUSHK,Dyes And Pigments
Shaily Engineer.,501423,SHAILY,Plastics Products
Shakti Pumps,531431,SHAKTIPUMP,Pumps
Shalby,540797,SHALBY,Healthcare
Shalimar Paints,509874,SHALPAINTS,Paints / Varnishes
Shankara Build.,540425,SHANKARA,Trading
Shanthi Gears,522034,SHANTIGEAR,Engineering
Shanti Educat.,539921,,Miscellaneous
Sharda Cropchem,538666,SHARDACROP,Pesticides / Agrochemicals - Indian
Sharda Motor,535602,SHARDAMOTR,Auto Ancillaries
Shilpa Medicare,530549,SHILPAMED,Pharmaceuticals - Indian - Formulations
Shipping Land,544142,SCILAL,Miscellaneous
Shivalik Bimetal,513097,SBCL,Mining / Minerals / Metals
Shree Cement,500387,SHREECEM,Cement - North India
Shrem InvIT,,SHREMINVIT,Construction
Shriram Pistons,,SHRIPISTON,Auto Ancillaries
Shriram Properti,543419,SHRIRAMPPS,Construction
Shyam Metalics,543299,SHYAMMETL,Steel - Large
Siemens,500550,SIEMENS,Electric Equipment
Signpost India,544117,SIGNPOST,Miscellaneous
Sindhu Trade,532029,SINDHUTRAD,Miscellaneous
Sirca Paints,543686,SIRCA,Trading
SIS,540673,SIS,Miscellaneous
Siyaram Silk,503811,SIYSIL,Textiles - Processing
SJS Enterprises,543387,SJS,Plastics Products
SJVN,533206,SJVN,Miscellaneous
SKF India,500472,SKFINDIA,Bearings
Skipper,538562,SKIPPER,Engineering
Sky Gold,541967,SKYGOLD,Diamond Cutting / Jewellery
SMC Global Sec.,543263,SMCGLOBAL,Finance & Investments
SML ISUZU,505192,SMLISUZU,Automobiles - LCVs / HCVs
SMS Pharma.,532815,SMSPHARMA,Pharmaceuticals - Indian - Bulk Drugs
Snowman Logistic,538635,SNOWMAN,Miscellaneous
Sobha,532784,SOBHA,Construction
Solar Industries,532725,SOLARINDS,Chemicals
Solex Energy,,SOLEX,Electric Equipment
Som Distilleries,507514,SDBL,Breweries & Distilleries
Somany Ceramics,531548,SOMANYCERA,Ceramics - Tiles / Sanitaryware
Sona BLW Precis.,543300,SONACOMS,Auto Ancillaries
Sonata Software,532221,SONATSOFTW,Computers - Software - Medium / Small
Spacenet Enterpr,,SPCENET,Trading
Spectrum Electr.,,SPECTRUM,Electric Equipment
SPML Infra,500402,SPMLINFRA,Construction
Spright Agro,531205,,Trading
Sr.Rayala.Hypo,532842,SRHHYPOLTD,Chemicals
SRF,503806,SRF,Chemicals
Sri Adhik. Bros.,530943,SABTNL,Entertainment / Electronic Media Software
Stanley Lifesty.,544202,STANLEY,Miscellaneous
Star Cement,540575,STARCEMENT,Cement - North India
Star Health Insu,543412,STARHEALTH,Finance & Investments
Steel Exchange,534748,STEELXIND,Steel - Medium / Small
Steelcast,513517,STEELCAS,Castings & Forgings
Sterling & Wils.,542760,SWSOLAR,Engineering - Turnkey Services
Sterling Tools,530759,STERTOOLS,Fasteners
Stove Kraft,543260,STOVEKRAFT,Domestic Appliances
Strides Pharma,532531,STAR,Pharmaceuticals - Indian - Bulk Drugs & Formln
Stylam Industrie,526951,STYLAMIND,Miscellaneous
Styrenix Perfor.,506222,STYRENIX,Petrochemicals
Subex,532348,SUBEXLTD,Computers - Software - Medium / Small
Subros,517168,SUBROS,Auto Ancillaries
Sudarshan Chem.,506655,SUDARSCHEM,Dyes And Pigments
Sula Vineyards,543711,SULA,Breweries & Distilleries
Sumitomo Chemi.,542920,SUMICHEM,Pesticides / Agrochemicals - Indian
Summit Securitie,533306,SUMMITSEC,Finance & Investments
Sun Pharma.Inds.,524715,SUNPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln
Sun TV Network,532733,SUNTV,Entertainment / Electronic Media Software
Sundaram Fin.Hol,,SUNDARMHLD,Finance & Investments
Sundram Fasten.,500403,SUNDRMFAST,Auto Ancillaries
Sunflag Iron,500404,SUNFLAG,Steel - Medium / Small
Sunteck Realty,512179,SUNTECK,Construction
Suprajit Engg.,532509,SUPRAJIT,Auto Ancillaries
Supreme Inds.,509930,SUPREMEIND,Plastics Products
Supreme Petroch.,500405,SPLPETRO,Petrochemicals
Supriya Lifesci.,543434,SUPRIYA,Pharmaceuticals - Indian - Bulk Drugs & Formln
Suraj Estate,544054,SURAJEST,Construction
Suraksha Diagno.,544293,SURAKSHA,Healthcare
Suratwwala Busi.,543218,SBGLP,Construction
Surya Roshni,500336,SURYAROSNI,Steel - Large
Suven Life Scie.,530239,SUVEN,Miscellaneous
Suven Pharma,543064,SUVENPHAR,Pharmaceuticals - Indian - Bulk Drugs & Formln
Suyog Telematics,537259,SUYOG,Transmisson Line Towers / Equipment
Suzlon Energy,532667,SUZLON,Electric Equipment
Swan Energy,503310,SWANENERGY,Diversified - Medium / Small
Swaraj Engines,500407,SWARAJENG,Engines
Swelect Energy,532051,SWELECTES,Electric Equipment
Swiggy,544285,SWIGGY,Miscellaneous
Symphony,517385,SYMPHONY,Domestic Appliances
Syncom Formul.,524470,SYNCOMF,Pharmaceuticals - Indian - Formulations
Syngene Intl.,539268,SYNGENE,Miscellaneous
Systematix Corp.,526506,,Finance & Investments
T B Z,534369,TBZ,Diamond Cutting / Jewellery
T N Newsprint,531426,TNPL,Paper
T R I L,532928,TARIL,Electric Equipment
T.V. Today Netw.,532515,TVTODAY,Entertainment / Electronic Media Software
TajGVK Hotels,532390,TAJGVK,Hotels
Talbros Auto.,505160,TALBROAUTO,Auto Ancillaries
Taneja Aerospace,522229,,Miscellaneous
Tanla Platforms,532790,TANLA,Computers - Software - Medium / Small
TARC Ltd,543249,TARC,Construction
Tarsons Products,543399,TARSONS,Miscellaneous
Tata Chemicals,500770,TATACHEM,Chemicals
Tata Consumer,500800,TATACONSUM,Tea
Tata Elxsi,500408,TATAELXSI,Computers - Software - Medium / Small
Tata Inv.Corpn.,501301,TATAINVEST,Finance & Investments
Tata Motors,500570,TATAMOTORS,Automobiles - LCVs / HCVs
