Name,BSE Code,NSE Code,Industry
Bajaj Healthcare,539872,BAJAJHCARE,Pharmaceuticals - Indian - Bulk Drugs & Formln
Bajaj Hindusthan,500032,BAJAJHIND,Sugar
Bajaj Holdings,500490,BAJAJHLDNG,Finance & Investments
Bajel Projects,544042,BAJEL,Engineering - Turnkey Services
Balaji Amines,530999,BALAMINES,Chemicals
Balkrishna Inds,502355,BALKRISIND,Tyres
Balmer Law. Inv.,532485,,Finance & Investments
Balmer Lawrie,523319,BALMLAWRIE,Diversified - Large
Balrampur Chini,500038,BALRAMCHIN,Sugar
Balu Forge,531112,BALUFORGE,Castings & Forgings
Banco Products,500039,BANCOINDIA,Auto Ancillaries
Bannari Amm.Sug.,500041,BANARISUG,Sugar
Bansal Wire Inds,544209,BANSALWIRE,Steel - Medium / Small
BASF India,500042,BASF,Chemicals
Bata India,500043,BATAINDIA,Leather / Leather Products
Bayer Crop Sci.,506285,BAYERCROP,Pesticides / Agrochemicals - Multinational
BCL Industries,524332,BCLIND,Diversified - Medium / Small
Beekay Steel Ind,539018,,Steel - Medium / Small
BEML Ltd,500048,BEML,Engineering
Bengal & Assam,533095,,Finance & Investments
Berger Paints,509480,BERGEPAINT,Paints / Varnishes
Best Agrolife,539660,BESTAGRO,Pesticides / Agrochemicals - Indian
BF Investment,533303,BFINVEST,Finance & Investments
BF Utilities,532430,BFUTILITIE,Power Generation And Supply
Bhagiradha Chem.,531719,BHAGCHEM,Pesticides / Agrochemicals - Indian
Bhansali Engg.,500052,BEPL,Petrochemicals
Bharat Bijlee,503960,BBL,Electric Equipment
Bharat Dynamics,541143,BDL,Engineering
Bharat Electron,500049,BEL,Electronics - Components
Bharat Forge,500493,BHARATFORG,Castings & Forgings
Bharat Global,521238,,Computers - Hardware
Bharat Wire,539799,BHARATWIRE,Steel - Medium / Small
Bharti Hexacom,544162,BHARTIHEXA,Telecommunications - Service Provider
Bhartiya Intl.,526666,BIL,Leather / Leather Products
Bikaji Foods,543653,BIKAJI,Food - Processing - Indian
Biocon,532523,BIOCON,Pharmaceuticals - Indian - Bulk Drugs & Formln
Birla Corpn.,500335,BIRLACORPN,Cement - North India
Birlasoft Ltd,532400,BSOFT,Computers - Software - Medium / Small
Black Box,500463,BBOX,Computers - Software - Medium / Small
Bliss GVS Pharma,506197,BLISSGVS,Pharmaceuticals - Indian - Formulations
BLS E-Services,544107,BLSE,Computers - Software - Medium / Small
BLS Internat.,540073,BLS,Computers - Software - Medium / Small
Blue Dart Expres,526612,BLUEDART,Couriers
