ticker,Industry,Market Capitalization,candle_score_rolled,candle_score
NEWGEN,COMPUTERS,13135.030000000002,"[2.675, 1.25, 0.875, -2.625, -1.5999999999999996, -1.15]",-1.15
NFL,FERTILIZERS,4006.5700000000006,"[-1.5, -1.0499999999999998, -0.75, -0.375, -0.375, 0.0]",0.0
NGLFINE-BE,PHARMACEUTICALS,655.3,"[-0.75, -0.6749999999999998, -0.375, -0.375, -0.375, 0.0]",0.0
NH,HEALTHCARE,35417.74,"[-0.5, -0.25, -1.5, -2.55, -1.7999999999999998, -1.125, -0.75, -0.375, 0.0, 0.0, -1.5, -2.55, -1.7999999999999998, -1.125, 0.75, 2.175]",2.175
NHPC,POWER GENERATION AND SUPPLY,85784.64,"[-2.0, -1.7249999999999996, -3.0, -1.7999999999999998, -1.5, -0.375]",-0.375
NIACL,FINANCE & INVESTMENTS,26475.120000000003,"[-2.6, -1.9749999999999996, -0.75, -1.025, -0.85, -0.125]",-0.125
NIBE,ENGINEERING,1830.53,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
NICCOPAR,RECREATION / AMUSEMENT PARKS,558.8,"[1.0499999999999998, 0.75, 0.375, 0.375, 0.0, 0.0]",0.0
NIFTY 50,0,0.0,"[0.0, 0.0, 0.0, -1.5, -1.0499999999999998, -1.75]",-1.75
NIFTY 500,0,0.0,"[0.0, 0.0, -1.5, -1.0499999999999998, -1.75, -1.075]",-1.075
NIFTY AUTO,0,0.0,"[0.0, 0.0, 0.0, 1.0, -0.8, 0.9500000000000002]",0.9500000000000002
NIFTY BANK,0,0.0,"[-2.7, -1.7999999999999998, -2.25, -1.325, -0.875, -0.25]",-0.25
NIFTY COMMODITIES,0,0.0,"[0.0, 0.0, -1.5, -1.0499999999999998, -0.75, -0.375]",-0.375
NIFTY CONSUMPTION,0,0.0,"[-1.5, -1.0499999999999998, -0.75, -0.375, -1.375, -0.7]",-0.7
NIFTY CPSE,0,0.0,"[-1.5, -1.0499999999999998, -0.75, -0.375, -1.875, -1.0499999999999998]",-1.0499999999999998
NIFTY ENERGY,0,0.0,"[-1.5, -1.0499999999999998, -0.75, -0.375, -0.375, 0.0]",0.0
NIFTY FIN SERVICE,0,0.0,"[-2.0, -1.2999999999999998, -1.0, -0.375, -0.375, 0.0]",0.0
NIFTY FMCG,0,0.0,"[-2.25, -1.2999999999999998, -1.0, -0.375, -1.875, 0.4500000000000002]",0.4500000000000002
NIFTY INFRA,0,0.0,"[-1.5, 0.4500000000000002, 0.2999999999999998, 1.375, -1.8, 0.625]",0.625
NIFTY IT,0,0.0,"[0.625, 0.375, 0.5, 0.35, 0.25, 0.125]",0.125
NIFTY MEDIA,0,0.0,"[-1.5, -1.0499999999999998, -2.25, -2.425, -1.825, -0.875]",-0.875
NIFTY METAL,0,0.0,"[0.0, 0.0, 0.0, 0.0, -1.5, 0.4500000000000002]",0.4500000000000002
NIFTY MIDCAP 100,0,0.0,"[0.0, 0.0, -1.5, -1.0499999999999998, -0.75, -0.375]",-0.375
NIFTY MNC,0,0.0,"[0.0, -1.5, -1.0499999999999998, -0.75, -0.375, -0.375]",-0.375
NIFTY PHARMA,0,0.0,"[0.0, 0.0, 0.0, -1.0, -2.2, -1.5499999999999998]",-1.5499999999999998
NIFTY PSE,0,0.0,"[-1.5, -1.0499999999999998, -0.75, -0.375, -1.875, 0.4500000000000002]",0.4500000000000002
NIFTY PSU BANK,0,0.0,"[-1.95, -1.2999999999999998, -1.0, -0.625, -0.375, -1.5]",-1.5
NIFTY PVT BANK,0,0.0,"[-2.7, -1.7999999999999998, -1.25, -0.625, -0.375, 0.0]",0.0
NIFTY REALTY,0,0.0,"[0.0, 0.0, -1.5, 0.4500000000000002, -0.7000000000000002, -1.825]",-1.825
NIFTY SERV SECTOR,0,0.0,"[0.0, -1.5, -1.0499999999999998, -0.75, -1.375, -1.075]",-1.075
NIFTY SMLCAP 100,0,0.0,"[-1.5, -1.0499999999999998, -0.75, -0.375, -1.875, -1.0499999999999998]",-1.0499999999999998
NIITLTD,COMPUTERS,1692.8699999999997,"[0.75, 0.375, 0.375, 0.0, 0.0, 0.0]",0.0
NIITMTS,COMPUTERS,5296.65,"[0.5, 0.25, 0.25, -1.0, -0.7, -0.5]",-0.5
NILKAMAL,PLASTICS PRODUCTS,2417.04,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
NINSYS,COMPUTERS,858.86,"[0.75, 0.375, 0.375, 0.0, 0.0, 0.0]",0.0
NIRLON,CONSTRUCTION,4793.49,"[-1.0, -0.7, -0.5, -0.25, -0.25, 0.0]",0.0
NISUS,FINANCE & INVESTMENTS,853.29,"[1.4249999999999998, 0.75, 0.375, 0.375, 0.0, 0.0]",0.0
NITCO,TRADING,811.69,"[0.375, 0.375, 0.0, 0.0, 0.0, 0.0]",0.0
NITINSPIN,TEXTILES,2056.52,"[0.0, 0.0, 0.0, 0.0, 1.5, 1.0499999999999998]",1.0499999999999998
NITTAGELA,CHEMICALS,651.93,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
NIVABUPA,FINANCE & INVESTMENTS,13613.16,"[1.25, 0.375, -1.625, -0.8999999999999999, -1.65, 2.05]",2.05
NLCINDIA,POWER GENERATION AND SUPPLY,33050.51,"[-2.5, -0.75, -0.55, -1.625, -1.4249999999999998, -0.5]",-0.5
