S.No.,Name,CMP Rs.,All time high Rs.,No. Eq. Shares Cr.,Sales Qtr Rs.Cr.,NP Qtr Rs.Cr.,Qtr Profit Var %,Qtr Sales Var %,Exp Qtr Sales Var %,Sales Rs.Cr.,EBIT 12M Rs.Cr.,PAT 12M Rs.Cr.,Sales growth %,Profit growth %,ROE %,ROCE %,ROA 12M %,Sales Var 3Yrs %,Profit Var 3Yrs %,ROE 3Yr %,ROCE3yr avg %,ROA 3Yr %,EPS 12M Rs.,P/E,CMP / BV,CMP / Sales,PEG,Curr price to Graham,Cur price to Int val,Div Yld %,Dividend Payout %,CF Opr 3Yrs Rs.Cr.,CF Operations Rs.Cr.,CF Investing Rs.Cr.,CF Financing Rs.Cr.,Net CF Rs.Cr.,Free Cash Flow Rs.Cr.,Free Cash Flow 3Yrs Rs.Cr.,Int Coverage,Debt / Eq,Asset Turnover,Inven TO,EV / EBITDA,Unpledged Prom Hold %,Chg in Prom Hold 3Yr %,Change in Prom Hold %,Chg in FII Hold %,Chg in DII Hold %,Piotski Scr,Altman Z Scr,G Factor,Ind PE,Mar Cap Rs.Cr.,Vol 1d,BSE Code,NSE Code,Industry,Drop_from_AT_high,Strat_AT_HIGH
139.0,Jindal Stain.,588.5,848.0,82.38,9907.3,654.27,-5.35,8.54,-0.45,38567.91,3928.95,2411.59,-0.79,-14.83,19.88,22.23,9.03,46.8,94.21,25.46,29.08,12.03,29.32,20.08,3.12,1.26,0.25,1.67,1.35,0.5,9.1,8951.85,4818.13,-3228.99,-829.35,759.79,3366.96,4884.76,6.39,0.42,1.33,3.54,10.83,60.88,-8.99,0.17,-0.79,0.65,7.0,4.6,5.0,17.75,48478.77,1093095,532508.0,JSL,Steel - Large,-0.31,Other
140.0,S A I L,114.4,293.0,413.05,24489.91,141.89,-64.61,4.89,-4.42,101121.44,6592.01,2921.77,-5.1,-13.5,6.44,8.1,2.65,15.1,-4.47,11.28,12.58,4.9,5.44,16.25,0.82,0.47,2.52,0.88,1.23,1.72,26.94,28607.38,2910.88,-4260.54,1361.95,12.29,-1296.65,17448.07,2.38,0.72,0.78,2.03,7.27,65.0,0.0,0.0,0.62,-0.11,7.0,2.17,5.0,17.75,47253.17,14603805,500113.0,SAIL,Steel - Large,-0.61,Big_drop_AT_HIGH_MARCAP2K
141.0,Petronet LNG,314.4,384.9,150.0,12226.86,866.99,-27.18,-17.09,0.69,52456.97,5092.94,3593.77,-0.67,5.3,22.19,26.41,14.87,26.54,6.26,23.75,27.59,15.49,23.96,13.08,2.55,0.9,1.26,1.22,1.09,3.17,42.42,10863.88,4872.51,-1061.51,-2154.46,1656.54,4031.74,8893.08,19.01,0.15,2.22,35.03,6.8,50.0,0.0,0.0,0.16,0.08,7.0,7.17,5.0,15.77,47160.0,2321792,532522.0,PETRONET,Miscellaneous,-0.18,Other
142.0,Jubilant Food.,711.55,918.0,65.98,2150.76,43.24,-21.97,56.06,43.16,7611.34,819.41,229.36,42.24,4.08,12.98,11.2,4.08,19.52,4.88,18.39,16.2,7.07,5.61,204.7,21.45,6.17,-65.82,11.0,8.68,0.17,19.83,2965.83,1009.64,-1285.37,377.24,101.51,161.99,823.7,1.58,1.94,0.84,5.63,32.3,39.85,0.0,0.0,-0.72,0.85,5.0,10.67,2.0,417.47,46951.3,940002,533155.0,JUBLFOOD,Hotels,-0.22,Other
143.0,Mphasis,2458.0,3659.75,19.01,3710.04,446.49,13.55,8.73,7.18,14229.99,2425.64,1702.14,7.17,10.34,18.48,22.2,11.78,5.96,6.16,19.47,25.02,12.84,89.55,27.48,4.87,3.28,3.64,2.43,1.67,2.22,63.65,5546.67,1905.2,44.06,-1755.71,193.55,1845.33,5284.02,14.66,0.2,0.98,,16.19,40.14,-15.66,-0.09,-0.17,0.29,6.0,7.72,3.0,29.51,46720.7,420241,526299.0,MPHASIS,Computers - Software - Large,-0.33,Other
144.0,P & G Hygiene,14141.0,19250.0,3.25,1247.63,268.59,17.34,10.08,7.97,4316.71,1026.64,715.92,7.72,-5.28,78.92,112.44,33.99,5.57,1.3,79.68,107.68,34.78,220.55,64.1,48.53,10.63,6.51,11.76,5.31,1.37,122.62,1869.4,470.53,1.06,-861.75,-390.16,427.26,1731.98,33.2,0.0,2.11,7.3,41.93,70.64,0.0,0.0,-0.1,0.13,6.0,39.58,3.0,53.35,45902.73,8213,500459.0,PGHH,Personal Care - Multinational,-0.27,Other
145.0,Godfrey Phillips,8745.65,8800.0,5.2,1895.52,315.84,48.74,27.43,27.6,5683.16,1248.53,1047.2,26.64,28.34,18.97,22.17,13.67,20.51,34.16,17.21,20.1,12.07,193.66,43.45,9.67,8.0,1.55,4.4,2.83,0.67,32.98,1504.76,290.24,55.45,-349.48,-3.8,192.08,1333.03,61.9,0.05,0.82,2.1,33.09,72.58,-0.25,0.0,-0.91,1.3,7.0,14.05,6.0,32.56,45472.06,108766,500163.0,GODFRYPHLP,Cigarettes,-0.01,Other
146.0,Premier Energies,1000.85,1388.0,45.08,1713.32,255.22,490.51,140.47,,3143.79,410.07,230.97,120.07,1655.8,43.66,25.23,8.18,64.87,118.58,16.19,11.54,1.98,8.78,195.31,19.61,14.35,,9.97,12.99,0.05,0.0,131.8,90.15,-446.63,548.91,192.43,-358.91,-773.93,3.38,0.55,1.11,2.94,87.96,64.25,,0.0,0.64,0.71,7.0,15.63,4.0,47.57,45115.79,797674,544238.0,PREMIERENE,Electric Equipment,-0.28,Other
147.0,APL Apollo Tubes,1613.7,1806.2,27.75,5432.73,216.97,31.09,30.04,13.08,19946.68,955.06,634.39,12.16,-16.95,22.05,25.18,11.18,28.7,26.48,24.52,28.19,13.14,22.86,70.64,11.63,2.25,1.88,6.04,3.73,0.34,20.84,2454.53,1111.56,-915.64,26.55,222.47,449.74,363.47,7.23,0.27,2.78,10.18,39.82,28.31,-6.23,-0.01,0.06,0.23,5.0,14.03,6.0,17.75,44784.13,413624,533758.0,APLAPOLLO,Steel - Large,-0.11,Other
148.0,L&T Technology,4216.9,6000.0,10.59,2982.4,310.2,-9.01,17.53,10.77,10670.1,1797.2,1263.5,10.6,-1.99,22.15,28.34,13.94,17.55,10.57,25.32,32.76,15.52,119.64,35.35,7.34,4.18,3.91,3.39,2.04,1.2,46.03,4286.9,1481.1,-509.4,-718.2,253.5,1379.3,3764.5,31.81,0.1,1.18,0.0,20.77,73.66,-0.24,0.0,0.99,-0.63,5.0,10.46,3.0,29.51,44648.45,188653,540115.0,LTTS,Computers - Software - Large,-0.3,Other
149.0,Max Financial,1284.9,1425.0,34.51,8923.21,69.81,-62.28,-27.78,25.64,48982.25,408.07,251.84,17.7,-41.44,9.21,9.77,0.27,14.2,-7.19,8.79,10.42,0.31,7.3,176.07,8.6,0.91,33.16,8.19,10.75,0.0,0.0,24525.08,6106.93,-5003.89,-116.98,986.06,5885.82,24005.09,9.52,0.1,0.32,,107.87,1.24,-12.98,-1.6,-2.75,4.6,6.0,0.69,1.0,20.17,44343.81,682267,500271.0,MFSL,Finance & Investments,-0.1,Other
150.0,Supreme Inds.,3483.0,6482.4,12.7,3027.07,293.94,-17.16,0.64,3.3,10446.25,1250.93,960.88,3.08,-7.0,17.84,22.95,14.0,10.36,-0.03,19.91,25.91,15.56,75.64,46.07,7.82,4.24,2.97,4.0,2.02,0.84,44.96,3306.96,1003.72,-790.75,-440.02,-227.05,115.99,1450.69,105.12,0.01,1.52,5.56,26.94,48.85,0.0,0.0,-1.75,1.29,5.0,13.32,3.0,26.32,44243.45,161347,509930.0,SUPREMEIND,Plastics Products,-0.46,Big_drop_AT_HIGH_MARCAP2K
151.0,Hexaware Tech.,706.95,850.0,60.77,3207.9,327.1,17.24,16.7,,11974.4,1617.5,1163.69,15.36,17.45,23.29,29.52,14.37,18.6,15.97,22.78,27.7,14.43,19.36,36.85,8.02,3.59,3.03,3.61,1.99,0.83,45.22,3884.2,1548.0,-662.9,-681.9,203.2,1416.8,3570.6,22.81,0.11,1.48,,21.91,74.71,-16.45,-20.37,,,4.0,10.64,4.0,29.51,42960.99,711917,,,Unmapped,-0.17,Other
152.0,Gujarat Fluoroch,3875.0,4880.95,10.98,1148.0,126.0,57.5,15.73,4.09,4645.0,792.0,456.0,0.55,-31.52,7.69,9.76,5.0,17.33,59.14,17.4,19.91,11.39,41.51,93.38,6.95,9.16,-4.97,5.36,6.34,0.08,7.58,2106.62,626.36,-966.46,347.57,7.46,-329.63,-225.0,5.11,0.35,0.49,1.37,39.09,61.72,-3.51,-0.01,0.02,0.69,4.0,9.17,5.0,30.33,42566.85,108444,542812.0,FLUOROCHEM,Chemicals,-0.21,Other
153.0,Container Corpn.,690.0,1193.95,60.93,2208.31,367.28,10.91,-0.1,4.95,8924.32,1812.25,1332.19,4.84,8.99,10.93,13.93,9.17,10.42,31.79,10.56,13.51,8.77,21.45,31.59,3.46,4.71,50.14,2.22,2.85,1.69,55.58,4164.32,1388.5,-698.67,-840.1,-150.27,602.55,2203.98,24.02,0.08,0.63,0.36,16.34,54.8,0.0,0.0,-0.37,0.49,6.0,7.19,4.0,21.21,42041.33,1149239,531344.0,CONCOR,Miscellaneous,-0.42,Other
154.0,Nippon Life Ind.,646.0,816.25,63.47,566.54,298.6,-12.92,20.99,36.41,2230.69,1701.06,1286.39,9.58,16.17,31.39,41.07,28.44,13.31,20.02,27.48,34.65,24.74,20.27,31.86,9.77,18.38,1.26,3.71,2.29,2.55,88.81,2563.57,1199.53,-81.59,-1115.62,2.32,659.16,1999.92,252.38,0.02,0.49,,23.56,72.32,-1.48,-0.11,0.06,-0.21,5.0,17.04,6.0,20.17,41001.81,643021,540767.0,NAM-INDIA,Finance & Investments,-0.21,Other
155.0,Voltas,1236.9,1946.2,33.09,3105.11,130.76,573.77,18.26,33.66,14848.12,1081.28,708.46,32.16,152.51,4.4,8.51,2.23,18.21,-22.07,6.09,10.38,3.4,21.66,57.69,6.51,2.76,-4.24,4.07,4.54,0.45,72.2,1505.12,761.51,-522.36,-116.32,122.83,473.22,992.49,18.14,0.14,1.12,5.28,36.04,30.3,0.0,0.0,0.64,-1.4,6.0,8.1,3.0,68.71,40927.15,2446244,500575.0,VOLTAS,Air-conditioners,-0.36,Other
156.0,Cochin Shipyard,1545.45,2979.45,26.31,1069.88,184.29,-25.7,4.74,49.17,4102.19,1135.09,822.88,36.89,50.28,17.21,21.62,7.46,8.95,10.05,12.71,16.09,6.03,31.28,49.46,7.76,9.91,4.39,4.1,2.86,0.64,31.55,3293.46,-172.83,478.4,-370.72,-65.15,-788.7,2132.27,35.34,0.09,0.33,2.48,31.51,67.91,-4.95,0.0,-0.03,0.19,6.0,6.86,2.0,50.09,40657.81,3542070,540678.0,COCHINSHIP,Miscellaneous,-0.48,Big_drop_AT_HIGH_MARCAP2K
157.0,GE Vernova T&D,1584.15,2243.0,25.6,1073.65,142.68,189.12,27.97,38.15,4053.36,676.56,488.13,37.06,450.69,15.66,23.14,4.99,-2.83,46.35,0.98,7.29,0.4,19.06,83.11,29.47,10.01,-22.96,10.43,17.5,0.14,28.29,489.23,518.36,-172.43,-258.66,87.27,489.2,418.78,57.19,0.03,0.87,3.41,55.9,51.0,-24.0,0.0,1.0,-0.22,9.0,18.23,3.0,47.57,40562.13,153200,522275.0,GVT&D,Electric Equipment,-0.29,Other
158.0,Biocon,331.6,487.75,120.06,3821.4,81.1,-96.33,-3.35,1.11,14761.8,2563.5,823.36,1.02,-31.31,5.25,5.96,2.33,27.36,10.53,5.87,6.81,3.08,6.7,48.28,1.89,2.7,8.22,2.04,2.02,0.16,5.87,5983.0,2953.9,-1001.6,-2332.7,-380.4,1045.6,428.8,2.81,0.8,0.27,1.15,12.91,60.64,0.0,0.0,0.01,0.37,7.0,2.11,0.0,29.05,39811.88,1398357,532523.0,BIOCON,Pharmaceuticals - Indian - Bulk Drugs & Formln,-0.32,Other
159.0,J K Cements,5149.75,5323.0,7.73,2930.28,189.87,-33.19,-0.16,2.0,11403.74,1403.42,631.12,1.56,-8.45,15.94,15.8,5.7,20.49,2.98,14.19,14.29,5.24,93.25,63.04,7.2,3.49,2.56,4.2,2.65,0.29,19.54,4214.63,1959.08,-1626.11,-415.72,-82.75,791.61,-83.52,3.05,1.04,0.82,4.11,22.6,45.68,-0.14,0.0,-0.74,0.8,9.0,5.86,2.0,46.38,39791.22,65873,532644.0,JKCEMENT,Cement - North India,-0.03,Other
160.0,Thermax,3244.0,5839.95,11.92,2507.76,113.73,-18.97,7.89,13.65,10067.44,948.03,607.76,13.49,11.41,14.15,16.93,6.2,24.85,33.81,12.03,14.49,5.39,51.95,63.59,8.34,3.84,6.67,4.82,3.73,0.37,20.94,1031.57,247.3,-513.68,285.4,19.02,-471.23,-420.68,8.36,0.32,0.98,6.94,35.43,61.98,0.0,0.0,0.37,-0.41,6.0,7.66,2.0,63.55,38654.32,61521,500411.0,THERMAX,Electric Equipment,-0.44,Other
161.0,Kaynes Tech,5800.15,7824.95,6.41,661.18,66.46,47.07,29.82,57.25,2374.58,419.02,258.71,55.01,80.37,10.53,14.53,7.75,62.49,165.2,12.87,20.56,8.36,40.45,143.65,14.25,15.65,,9.54,3.13,0.0,0.0,49.65,70.14,-1505.21,1428.55,-6.52,-312.46,-433.31,4.81,0.27,0.77,2.79,80.7,57.75,,0.0,-3.67,1.94,4.0,18.32,5.0,46.36,37169.87,420931,,,Unmapped,-0.26,Other
162.0,360 ONE,942.0,1318.0,39.37,820.77,249.6,2.88,3.74,33.17,3295.09,2321.47,1081.36,12.81,34.47,20.57,14.91,6.2,16.73,23.23,21.9,14.24,6.11,25.83,34.31,5.24,11.26,0.86,2.91,2.47,0.66,23.23,-4203.49,-2410.87,-1067.59,3773.47,295.01,-2457.97,-4424.64,2.62,1.58,0.19,,19.71,7.89,-8.93,-0.56,1.06,-1.25,5.0,4.11,3.0,20.17,37086.33,514995,,,Unmapped,-0.29,Other
163.0,SJVN,93.87,170.5,392.98,670.99,148.75,-5.62,23.5,18.45,3050.52,1878.29,916.09,17.32,2.52,5.9,4.99,2.31,1.24,-24.03,7.97,7.82,4.09,2.57,40.22,2.55,12.09,-3.97,2.03,2.92,1.95,77.61,5079.17,1309.53,-5501.86,4501.53,309.2,-4340.15,-11842.16,2.75,1.63,0.07,0.22,22.51,81.85,-4.92,0.0,0.07,0.1,5.0,2.11,4.0,31.51,36889.03,5201854,533206.0,SJVN,Miscellaneous,-0.45,Other
164.0,Dalmia BharatLtd,1949.9,2548.4,18.76,4091.0,439.0,38.1,-5.02,-4.64,13980.0,1329.0,777.47,-4.84,1.49,4.6,5.97,2.75,7.4,1.38,5.43,7.05,3.43,36.41,47.02,2.1,2.62,1.42,2.24,2.99,0.46,25.04,7004.0,2117.0,-2270.0,-39.0,-192.0,-509.0,-1046.0,3.33,0.33,0.48,4.02,15.83,55.84,-0.06,0.0,-0.79,1.74,4.0,3.5,3.0,55.51,36573.3,865348,542216.0,DALBHARAT,Cement - South India,-0.23,Other
165.0,Narayana Hrudaya,1787.1,1872.85,20.44,1366.68,193.06,2.62,13.55,8.62,5387.06,1041.65,783.66,8.52,1.55,31.43,26.54,16.08,24.78,365.13,30.87,27.63,14.75,38.35,46.62,11.31,6.78,0.69,4.86,3.64,0.24,10.36,2636.18,1066.6,-1457.9,488.45,97.15,99.08,897.37,7.79,0.53,1.02,11.26,29.08,63.85,0.0,0.0,0.21,-0.16,5.0,11.69,4.0,54.85,36521.34,275846,539551.0,NH,Healthcare,-0.05,Other
166.0,Escorts Kubota,3234.15,4422.0,11.19,2948.02,320.63,6.46,8.08,4.87,10137.19,1410.84,1141.62,3.71,15.63,12.0,16.08,9.75,8.05,6.23,10.67,14.34,8.62,107.74,31.71,3.69,3.57,1.86,2.22,2.44,0.56,18.96,1288.37,1032.18,-927.89,-76.68,27.61,857.82,748.43,50.32,0.01,0.83,5.04,21.47,68.04,39.94,0.0,-0.68,1.14,8.0,7.28,1.0,31.52,36182.99,111261,500495.0,ESCORTS,Automobiles - Tractors,-0.27,Other
167.0,Tata Elxsi,5802.0,10760.4,6.23,908.34,172.42,-12.45,0.26,5.11,3729.05,1047.38,784.94,4.98,-0.81,29.26,36.22,23.18,14.71,12.65,34.2,42.23,26.82,126.03,46.06,12.64,9.69,1.87,5.08,2.32,1.21,59.51,2000.07,811.98,-308.28,-498.59,5.1,795.81,1837.18,55.18,0.07,1.1,432.02,30.14,43.91,-0.17,0.0,-0.54,1.04,5.0,20.02,2.0,30.98,36137.22,255044,500408.0,TATAELXSI,Computers - Software - Medium / Small,-0.46,Big_drop_AT_HIGH_MARCAP2K
168.0,Embassy Off.REIT,380.55,512.0,94.79,1097.74,-242.88,-185.7,11.85,8.26,4126.62,1521.67,1624.44,8.15,73.06,7.06,3.67,3.37,10.57,22.75,4.25,4.43,2.15,17.14,22.2,1.59,8.74,1.29,1.25,1.39,0.2,0.0,8235.73,3079.32,-1653.09,-1792.34,-366.11,1332.27,3781.73,1.15,0.88,0.09,9.46,20.78,7.69,-53.89,0.0,,,5.0,2.0,3.0,43.37,36072.11,1064235,542602.0,EMBASSY,Construction,-0.26,Other
169.0,AWL Agri Busine.,277.25,878.35,129.97,18229.59,190.66,21.39,37.86,25.29,63672.24,2324.68,1225.08,24.21,674.78,13.81,20.84,5.81,5.55,15.08,7.87,15.19,3.12,9.43,29.41,3.77,0.57,1.36,2.24,1.2,0.0,0.0,3101.91,2149.69,-270.41,-1543.73,335.55,1190.08,538.1,3.21,0.21,3.02,7.09,13.11,74.36,-13.58,-13.51,3.15,8.85,9.0,6.58,6.0,25.33,36033.55,1784943,,,Unmapped,-0.68,Big_drop_AT_HIGH_MARCAP2K
170.0,Astral,1340.45,2454.0,26.86,1397.0,112.6,-0.62,1.96,4.7,5776.1,746.9,522.1,4.59,-7.52,18.05,23.16,12.02,21.1,9.9,19.26,25.33,13.36,19.58,69.02,10.72,6.23,3.11,5.7,2.98,0.28,18.47,1923.4,823.4,-541.0,-202.5,79.9,273.2,718.7,18.91,0.06,1.27,3.89,36.66,54.1,-1.63,0.0,-0.9,0.84,6.0,15.21,3.0,26.32,36009.14,417328,532830.0,ASTRAL,Plastics Products,-0.45,Other
171.0,ACC,1900.55,2844.0,18.78,6066.52,751.04,-11.6,12.16,9.65,21762.31,3135.27,2325.5,9.04,7.86,13.33,17.58,9.53,10.45,6.9,11.55,14.74,7.95,127.92,15.36,1.93,1.64,1.36,1.13,1.03,0.4,5.87,3471.51,1711.48,-1277.31,-1002.26,-568.09,-241.65,-1811.54,28.97,0.02,0.89,6.19,8.33,56.69,2.16,0.0,-0.31,0.26,6.0,4.7,4.0,46.38,35689.91,642244,500410.0,ACC,Cement - North India,-0.33,Other
172.0,K P R Mill Ltd,1032.55,1194.0,34.18,1529.22,202.25,8.12,23.19,1.63,6315.62,1118.39,824.17,0.05,2.86,19.49,20.62,13.72,19.77,15.33,23.32,25.06,16.31,24.11,42.82,7.57,5.59,2.28,3.79,3.67,0.5,21.22,1470.85,677.94,-294.11,-417.28,-33.45,363.28,-81.09,19.14,0.08,1.06,2.02,26.83,70.68,-4.04,0.0,0.11,-0.23,5.0,13.81,5.0,36.5,35293.96,396133,532889.0,KPRMILL,Textiles - Products,-0.14,Other
173.0,Ipca Labs.,1376.6,1757.65,25.37,2245.37,276.36,81.13,9.38,22.38,8725.93,1309.25,734.22,21.47,36.81,9.35,12.77,5.77,12.41,-20.53,11.35,14.74,8.16,28.75,47.52,5.21,4.0,8.7,3.33,2.05,0.29,18.54,2606.53,944.65,-1215.29,-552.55,-823.19,542.67,1270.12,14.11,0.18,0.78,1.38,21.01,44.72,-1.57,0.0,-0.31,0.37,7.0,7.27,2.0,29.05,34924.88,395191,524494.0,IPCALAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,-0.22,Other
174.0,KPIT Technologi.,1254.5,1928.75,27.41,1528.34,244.73,49.38,15.98,20.03,5842.35,1174.94,839.6,19.93,41.77,33.2,40.88,18.39,33.92,44.22,30.67,36.47,16.01,30.63,41.02,11.83,5.89,1.01,4.64,2.09,0.54,27.51,2853.75,1389.53,-629.88,-342.44,417.22,1262.2,2443.91,27.72,0.12,1.28,0.64,23.91,39.47,-0.64,0.0,-0.18,0.88,9.0,13.93,6.0,30.98,34391.38,1254461,542651.0,KPITTECH,Computers - Software - Medium / Small,-0.35,Other
175.0,Blue Star,1668.4,2419.95,20.56,2807.36,132.46,22.72,25.26,25.62,11276.46,779.97,547.73,25.55,52.86,21.17,25.51,6.92,31.46,77.57,21.14,23.46,5.65,27.14,62.61,12.57,3.04,3.65,5.86,3.07,0.42,34.68,619.85,289.22,-524.23,364.83,129.82,-144.04,-248.28,18.47,0.13,1.61,3.42,38.21,36.47,-2.31,0.01,-1.54,0.94,6.0,11.49,5.0,68.71,34304.81,1528065,500067.0,BLUESTARCO,Air-conditioners,-0.31,Other
176.0,3M India,30105.05,41000.0,1.13,1089.95,113.77,-15.88,8.38,5.55,4228.51,759.76,555.27,5.49,6.52,24.81,33.04,16.97,17.5,53.48,18.07,24.51,13.01,492.91,61.11,20.36,8.02,5.74,7.43,7.92,0.54,143.96,1341.7,583.4,-228.8,-127.54,227.06,552.85,1183.71,71.74,0.01,1.24,4.47,40.93,75.0,0.0,0.0,-0.23,-0.08,9.0,23.52,3.0,13.32,33928.39,2948,523395.0,3MINDIA,Diversified - Large,-0.27,Other
177.0,Radico Khaitan,2506.9,2637.7,13.38,1294.24,95.98,29.97,11.48,19.83,4625.76,491.05,311.27,19.48,31.76,11.29,13.16,6.63,20.03,-1.87,11.45,13.74,7.47,23.27,107.78,13.47,7.25,17.0,8.01,5.53,0.12,15.68,627.52,182.9,-242.56,23.7,-35.96,-56.33,-431.46,6.88,0.36,1.07,1.99,54.85,40.23,-0.04,-0.01,-0.76,1.21,6.0,14.99,2.0,29.54,33544.22,113056,532497.0,RADICO,Breweries & Distilleries,-0.05,Other
178.0,Laurus Labs,621.75,723.75,53.93,1720.3,232.77,210.28,19.49,10.96,5553.96,700.29,358.32,10.18,121.59,8.35,9.96,4.04,4.01,-24.37,10.86,13.11,5.64,6.64,93.55,7.51,6.04,13.42,5.58,4.19,0.19,12.04,2261.24,601.65,-681.72,39.28,-40.79,60.52,56.61,3.24,0.62,0.63,1.31,31.98,26.88,0.35,0.0,-0.05,-0.96,7.0,7.63,4.0,29.05,33528.02,2574781,,,Unmapped,-0.14,Other
179.0,Global Health,1214.5,1513.9,26.86,943.44,142.86,15.64,12.79,12.73,3569.71,725.37,507.29,12.71,12.29,17.93,19.32,11.38,31.3,154.74,16.17,16.99,9.04,18.9,64.32,10.36,9.14,1.14,5.45,3.68,0.0,0.0,1567.86,612.08,-440.8,-513.92,-342.64,334.92,782.42,10.59,0.22,0.78,11.94,35.32,33.03,,0.0,-0.72,1.42,7.0,14.11,4.0,54.85,32619.92,241557,543654.0,MEDANTA,Healthcare,-0.2,Other
180.0,Ajanta Pharma,2585.85,3485.75,12.49,1170.41,225.26,11.12,11.04,10.61,4648.1,1209.89,920.39,10.44,13.91,25.59,33.33,20.26,11.63,8.87,22.33,29.18,17.28,73.68,35.11,8.9,6.95,2.44,3.73,2.16,1.41,38.44,2734.41,1157.23,-376.52,-733.41,47.3,840.45,2104.84,58.36,0.01,1.02,1.37,23.84,57.9,-4.22,0.0,-0.4,0.46,7.0,14.85,2.0,35.09,32300.39,167508,532331.0,AJANTPHARM,Pharmaceuticals - Indian - Formulations,-0.26,Other
181.0,Gujarat Gas,463.85,786.65,68.84,4152.89,221.62,0.58,5.7,7.13,16519.12,1684.77,1226.38,6.68,11.24,15.03,20.51,9.79,16.72,-4.59,21.04,27.62,13.02,18.42,26.04,4.01,1.93,1.25,2.12,1.86,1.23,34.1,5673.76,1634.04,-878.65,-514.11,241.28,796.99,2383.99,52.67,0.02,1.39,3.17,13.86,60.89,0.0,0.0,-0.56,0.6,6.0,6.76,4.0,15.77,31931.01,218301,539336.0,GUJGASLTD,Miscellaneous,-0.41,Other
182.0,Multi Comm. Exc.,6242.05,7048.6,5.1,301.38,160.04,3091.4,57.35,58.64,1002.47,639.88,512.45,57.58,74168.12,5.82,7.15,2.58,20.51,-23.16,9.14,11.58,4.59,100.48,62.15,20.1,31.76,-5.28,7.45,3.94,0.12,46.88,1053.63,520.91,-424.3,-98.18,-1.57,377.68,757.37,1683.89,0.0,0.21,,42.93,0.0,0.0,0.0,-1.33,1.83,5.0,12.99,3.0,55.64,31833.48,800537,534091.0,MCX,Miscellaneous,-0.11,Other
183.0,Authum Invest,1871.65,2010.0,16.98,617.66,545.18,-9.63,26.08,975.27,4007.13,4150.21,3979.98,184.96,208.7,44.05,39.34,38.03,111.24,178.53,32.02,25.53,22.14,234.33,7.95,2.43,7.93,0.06,0.94,1.07,0.06,0.0,44.95,-109.16,639.75,-402.74,127.85,-111.31,36.65,142.91,0.03,0.31,,7.65,74.95,4.67,0.0,0.1,0.07,7.0,6.3,6.0,20.17,31789.06,132912,539177.0,AIIL,Finance & Investments,-0.07,Other
184.0,Sona BLW Precis.,507.25,839.9,62.17,864.75,163.68,11.86,-2.19,12.1,3546.02,847.79,614.17,11.34,18.88,15.08,18.72,11.81,18.51,20.42,17.53,21.6,13.54,9.67,51.34,5.79,8.89,1.57,3.66,1.71,0.62,33.09,2001.23,775.19,-1765.38,1943.64,953.45,359.69,931.53,28.1,0.04,0.68,4.44,27.62,28.02,-39.16,-0.01,-3.34,3.28,5.0,10.47,3.0,23.71,31536.63,5233975,543300.0,SONACOMS,Auto Ancillaries,-0.4,Other
185.0,NLC India,227.1,311.8,138.66,4411.41,696.03,166.79,39.41,10.24,14985.34,3755.29,2253.3,2.69,-12.5,6.79,6.54,2.01,9.37,-1.61,9.27,9.22,2.68,16.25,13.97,1.79,2.1,-2.09,1.05,1.67,1.29,22.44,17541.1,5623.73,-3151.26,-1985.08,487.39,2375.96,10826.47,4.66,1.27,0.24,1.25,9.61,72.2,-7.0,0.0,0.05,0.17,5.0,1.89,3.0,31.51,31490.51,836179,513683.0,NLCINDIA,Power Generation And Supply,-0.27,Other
186.0,Apollo Tyres,487.75,584.9,63.51,6927.95,337.25,-32.88,5.04,2.36,25958.03,2388.25,1349.71,2.33,-24.53,13.22,16.45,6.46,13.41,34.94,9.21,11.23,4.21,20.32,22.93,2.14,1.19,1.43,1.52,2.12,1.23,22.13,7729.75,3439.52,-710.68,-2659.06,69.79,2765.62,4476.77,5.29,0.34,0.94,3.33,8.95,36.92,0.01,-0.01,-0.78,0.39,9.0,3.93,4.0,28.45,30977.02,3017426,500877.0,APOLLOTYRE,Tyres,-0.17,Other
187.0,Exide Inds.,364.3,620.35,85.0,4335.42,187.91,1.15,3.89,2.81,17237.85,1328.99,795.02,2.79,-6.11,5.93,8.87,4.05,10.46,-43.18,6.71,9.75,4.92,9.35,38.97,2.2,1.8,68.37,1.96,1.95,0.55,21.38,3572.55,1272.9,-1933.92,514.62,-146.4,-652.49,-1208.98,8.68,0.14,0.87,2.75,17.16,45.99,0.0,0.0,-0.12,-0.49,4.0,4.35,2.0,23.71,30965.5,3689199,500086.0,EXIDEIND,Auto Ancillaries,-0.41,Other
188.0,Tata Inv.Corpn.,5993.0,9756.85,5.06,16.43,37.72,-37.62,-71.23,-0.76,305.08,368.63,312.09,-20.79,-18.93,1.02,1.21,0.92,6.32,13.36,1.27,1.43,1.18,61.68,97.16,0.97,99.39,3.45,2.05,2.17,0.47,43.78,670.71,206.21,-165.99,-142.63,-102.41,205.47,669.56,2303.94,0.0,0.01,,81.84,73.38,0.0,0.0,0.22,0.01,4.0,2.69,1.0,20.17,30321.77,23667,501301.0,TATAINVEST,Finance & Investments,-0.39,Other
